BARAD DUR &#8211; Gold oder Blut 12&#8243; LP,Barad Dur,Gold oder Blut,Vinyl,
ABSURD &#8211; Asgardsrei CD [25TH ANNIVERSARY SPECIAL EDITION],Absurd,Asgardsrei,CD,
OHTAR &#8211; Emptiness CD,Ohtar,Emptiness,CD,
WITCHCRAFT &#8211; Bestial Vociferation 12&#8243; LP,Witchcraft,Bestial Vociferation,Vinyl,
VRILDOM/ ALEM HOMEM &#8211; Southern Beasts of Prey Alliance CD,Vrildom/ Alem Homem,Southern Beasts of Prey Alliance,CD,
TENEBRAE &#8211; Serenades of the Damned 12&#8243; LP,Tenebrae,Serenades of the Damned,Vinyl,
SACRIFICIA MORTUORUM &#8211; Maturum Est 12&#8243; GATEFOLD LP,Sacrificia Mortuorum,Maturum Est,Vinyl,
PHOBIA &#8211; Slaughterhouse Tapes CD,Phobia,Slaughterhouse Tapes,CD,
MISTREAT / WHITE MINORITY &#8211; Split 12&#8243; LP,Mistreat / White Minority,Split,Vinyl,
HORNA / MUSTA SURMA &#8211; Vihan Vuodet CD,Horna / Musta Surma,Vihan Vuodet,CD,
HORNA &#8211; Hiidentorni CD,Horna,Hiidentorni,CD,
HORNA / BEHEXEN &#8211; Split DIGIPAK CD,Horna / Behexen,Split DIGIPAK,CD,
HATE FOREST &#8211; The Curse DIGIPAK CD,Hate Forest,The Curse DIGIPAK,CD,
DARK FURY &#8211; This Story Happened Before CD,Dark Fury,This Story Happened Before,CD,
CELTIC DANCE &#8211; Oderint Dum Metuant 12&#8243; GATEFOLD LP,Celtic Dance,Oderint Dum Metuant,Vinyl,
CELTIC DANCE &#8211; Oderint Dum Metuant CD,Celtic Dance,Oderint Dum Metuant,CD,
BLUTKULT / CELTIC DANCE &#8211; We Are the Roar of Thunder DIGIPAK CD,Blutkult / Celtic Dance,We Are the Roar of Thunder DIGIPAK,CD,
BLASPHAMAGOATACHRIST &#8211; Bastardizing the Purity CD,Blasphamagoatachrist,Bastardizing the Purity,CD,
BEHEXEN &#8211; From the Devil&#8217;s Chalice 12&#8243; GATEFOLD LP,Behexen,From the Devil’s Chalice,Vinyl,
BEHEXEN &#8211; From the Devil&#8217;s Chalice DIGIPAK CD,Behexen,From the Devil’s Chalice DIGIPAK,CD,
BEHEXEN &#8211; By the Blessing of Satan CD,Behexen,By the Blessing of Satan,CD,
BEHEXEN &#8211; By the Blessing of Satan DIGIPAK CD,Behexen,By the Blessing of Satan DIGIPAK,CD,
AZAXUL &#8211; The Saints Impaled 12&#8243; LP,Azaxul,The Saints Impaled,Vinyl,
AZAXUL &#8211; Echoes of Dreariness CD,Azaxul,Echoes of Dreariness,CD,
SPEAR OF LONGINUS &#8211; Nothing is Forever and Forever is Nothing 12&#8243; LP,Spear Of Longinus,Nothing is Forever and Forever is Nothing,Vinyl,
SPEAR OF LONGINUS &#8211; Nada Brahma 12&#8243; LP,Spear Of Longinus,Nada Brahma,Vinyl,
AB / CAPRICORNUS &#8211; Split 7&#8243; EP,Ab / Capricornus,Split,Vinyl,
KATHARSIS &#8211; VVorldvvithoutend 12&#8243; LP,Katharsis,VVorldvvithoutend,Vinyl,
ABSURD &#8211; Schwarze Bande 12&#8243; PICTURE DISC LP,Absurd,Schwarze Bande,Vinyl,
MAESTRO CROQUE MORT &#8211; Je tuerai votre monde DIGIPAK CD,Maestro Croque Mort,Je tuerai votre monde DIGIPAK,CD,
A SYMPHONY ORCHESTRA &#8211; History Will Repeat Itself CD,A Symphony Orchestra,History Will Repeat Itself,CD,
TYPHONIAN CRYPT &#8211; Abyssic Winds Howl CD,Typhonian Crypt,Abyssic Winds Howl,CD,
NECRO RITUS &#8211; Fiery Necromancy CD,Necro Ritus,Fiery Necromancy,CD,
STOSSTRUP &#8211; Wir Kommen &#8211; Rehearsal 110 CD,Stosstrup,Wir Kommen – Rehearsal 110,CD,
DISSECTION &#8211; The Somberlain CD,Dissection,THE SOMBERLAIN,CD,
MUTIILATION &#8211; Black Metal Cult CD,Mutiilation,Black Metal Cult,CD,
NARGAROTH &#8211; Rasluka CD,Nargaroth,Rasluka,CD,
DARK FURY &#8211; Shoot to Kill 12&#8243; LP,Dark Fury,Shoot to Kill,Vinyl,
BLASPHEMY &#8211; Live Ritual CASSETTE,Blasphemy,Live Ritual,Cassette,
VOLSHEBNIK &#8211; An Infertile Memory CD,Volshebnik,An Infertile Memory,CD,
SUPERNAL REFUSE &#8211; Inversion Protocol CASSETTE,Supernal Refuse,Inversion Protocol,Cassette,
SHROUD OF THE HERETIC &#8211; Revelations in Alchemy CASSETTE,Shroud Of The Heretic,Revelations in Alchemy,Cassette,
RAVENDARK&#8217;S MONARCHAL CANTICLE / WALSUNG &#8211; Brotherhood in Battle CASSETTE,Ravendark’S Monarchal Canticle / Walsung,Brotherhood in Battle,Cassette,
PANZERJAGER / AESIR &#8211; War Chants for Ragnarok CASSETTE,Panzerjager / Aesir,War Chants for Ragnarok,Cassette,
ODIUM TOTUS &#8211; In Inceptum Finis Est CASSETTE,Odium Totus,In Inceptum Finis Est,Cassette,
DRACONES &#8211; Son of the Devil CASSETTE,Dracones,Son of the Devil,Cassette,
"DEIPHAGO &#8211; I, the Devil CASSETTE",Deiphago,"I, the Devil",Cassette,
BLUTKULT / MALEFICE &#8211; Der Geist Der Vergangenheit CASSETTE,Blutkult / Malefice,Der Geist Der Vergangenheit,Cassette,
ASSASSINATION &#8211; Into Space and Out of Reach CASSETTE,Assassination,Into Space and Out of Reach,Cassette,
NORRHEM &#8211; Vaienneet Voittajat 12&#8243; LP,Norrhem,Vaienneet Voittajat,Vinyl,
NORRHEM &#8211; Voima Ja Kunnia / Among The Ruins 12&#8243; LP,Norrhem,Voima Ja Kunnia / Among The Ruins,Vinyl,
REVENGE &#8211; Infiltration.Downfall.Death CD,Revenge,Infiltration.Downfall.Death,CD,
REVENGE &#8211; Victory.Intolerance.Mastery CD,Revenge,Victory.Intolerance.Mastery,CD,
MARDUK &#8211; Panzer Division Marduk DIGIPAK CD,Marduk,Panzer Division Marduk DIGIPAK,CD,
MARDUK &#8211; Opus Nocturne CD,Marduk,Opus Nocturne,CD,
MARDUK &#8211; Heaven Shall Burn When We Are Gathered CD,Marduk,Heaven Shall Burn When We Are Gathered,CD,
STORMHEIT &#8211; Kvenland 12&#8243; LP,Stormheit,Kvenland,Vinyl,
WOLFNACHT &#8211; Eine Flamme im Dunkeln 12&#8243; LP,Wolfnacht,Eine Flamme im Dunkeln,Vinyl,
CIEL NOCTURNE &#8211; Demo I 12&#8243; LP,Ciel Nocturne,Demo I,Vinyl,
BONE AWL &#8211; An Obelisk Marks the Line 12&#8243; LP,Bone Awl,An Obelisk Marks The Line,Vinyl,
ARGHOSLENT &#8211; Resuscitation of the Revanchists CD,Arghoslent,Resuscitation of the Revanchists,CD,
IN THE MIST &#8211; La dernière épée levée CD,In The Mist,La dernière épée levée,CD,
DARK FURY &#8211; Shoot to Kill CD,Dark Fury,Shoot to Kill,CD,
DS / TLATEOTOCANI &#8211; Split 12&#8243; LP,Ds / Tlateotocani,Split,Vinyl,
NOCTURNAL FEAR &#8211; Fog of War &#8211; Line of Fire 12&#8243; LP + 10&#8243; MLP,Nocturnal Fear,Fog of War – Line of Fire 12″ LP +,Vinyl,
SADOMATIC RITES &#8211; Demo 2023 CD,Sadomatic Rites,Demo 2023,CD,
RESURGENCE &#8211; Graves of the Eclipse &#8211; Blood of the Zenith CD,Resurgence,Graves of the Eclipse – Blood of the Zenith,CD,
FERAL HOWL &#8211; Worshipper CD,Feral Howl,Worshipper,CD,
KATHARSIS &#8211; VVorldvvithoutend CD,Katharsis,VVorldvvithoutend,CD,
KATHARSIS &#8211; Kruzifixxion CD,Katharsis,Kruzifixxion,CD,
KATHARSIS &#8211; 666 CD,Katharsis,666,CD,
NORTFALKE &#8211; De Widde Juvver CD,NORTFALKE,De Widde Juvver,CD,
UNGRUN &#8211; Itjinge Tonei Barre Scil DIGIPAK CD,Ungrun,Itjinge Tonei Barre Scil DIGIPAK,CD,
POPRAVA &#8211; Supredator CD,Poprava,Supredator,CD,
NOXIA &#8211; The Age of Wisdom DIGIPAK CD,Noxia,The Age of Wisdom DIGIPAK,CD,
GRANSKOG &#8211; Carpathian Outlaws &#8211; 15 Years Of Bukowinian Pagan Madness DIGIPAK CD,Granskog,Carpathian Outlaws – 15 Years Of Bukowinian Pagan Madness DIGIPAK,CD,
NORDVREDE &#8211; Legion Nordvrede 12&#8243; GATEFOLD LP,Nordvrede,Legion Nordvrede,Vinyl,
BURSHTYN &#8211; Прах Відчайдухів 12&#8243; GATEFOLD LP,Burshtyn,Прах Відчайдухів,Vinyl,
ABSURD &#8211; Asgardsrei CD,Absurd,Asgardsrei,CD,
WARAGE &#8211; Die Organisation Des Todes 12&#8243; LP,Warage,Die Organisation Des Todes,Vinyl,
AKOLYYTTI &#8211; Origin – Igniting The Luciferian Flame 12&#8243; LP,Akolyytti,Origin – Igniting The Luciferian Flame,Vinyl,
ASKE &#8211; Goatfuck / Saatan Legio 12&#8243; LP,Aske,Goatfuck / Saatan Legio,Vinyl,
COUNCIL DAIMONION &#8211; Rise Into the Dark 7&#8243; GATEFOLD EP,Council Daimonion,Rise Into the Dark,Vinyl,
NECROSTRIGIS / WINTER BLACKNESS &#8211; W Mrokach Roziskrzonych Mrozem 7&#8243; EP,Necrostrigis / Winter Blackness,W Mrokach Roziskrzonych Mrozem,Vinyl,
KRYPTA NICESTWA &#8211; Widma Zimowej Martwoty 7&#8243; EP,Krypta Nicestwa,Widma Zimowej Martwoty,Vinyl,
KOHORT &#8211; Megiddo Eve 12&#8243; LP,Kohort,Megiddo Eve,Vinyl,
PANTHEON OF BLOOD &#8211; Voices Rooted in Blood 12&#8243; LP RED MARBLE,Pantheon of Blood,Voices Rooted in Blood,Vinyl,
GJENDOD &#8211; Krigsdoger 12&#8243; LP,Gjendod,Krigsdoger,Vinyl,
AZELSGARD &#8211; Under the Sign of the Black Wolf 12&#8243; LP,Azelsgard,Under the Sign of the Black Wolf,Vinyl,
VLAD TEPES &#8211; War Funeral March CD,Vlad Tepes,War Funeral March,CD,
VLAD TEPES &#8211; War Funeral March 12&#8243; LP,Vlad Tepes,War Funeral March,Vinyl,
RECLUSE &#8211; Stillbirth in Bethlehem 12&#8243; LP,Recluse,Stillbirth In Bethlehem,Vinyl,
WODULF &#8211; From the Corpsegates CD,Wodulf,From the Corpsegates,CD,
WITCHMASTER &#8211; Masochistic Devil Worship CASSETTE,Witchmaster,Masochistic Devil Worship,Cassette,
WEST WALL &#8211; On My Shield CASSETTE,West Wall,On My Shield,Cassette,
VOLKOLUN &#8211; Path Through the Mist DIGIPAK CD,Volkolun,Path Through the Mist DIGIPAK,CD,
THALLIUM &#8211; Armanenschaft CD,Thallium,Armanenschaft,CD,
SURT &#8211; Yggdrasil CASSETTE,Surt,Yggdrasil,Cassette,
SIGILLUM DIABOLICUM &#8211; Monotheisme La Grand Culte Mortifere CD,Sigillum Diabolicum,Monotheisme La Grand Culte Mortifere,CD,
SAMMAS EQUINOX &#8211; Tulikehrät DIGIPAK CD,Sammas Equinox,Tulikehrät DIGIPAK,CD,
PIAREVARACIEN &#8211; Symbole de vie et de lumièreU pošukach pačatku tych šlachoŭ DIGIPAK CD,Piarevaracien,Symbole de vie et de lumièreU pošukach pačatku tych šlachoŭ DIGIPAK,CD,
PERUNWIT / KRAINA ZIEMI &#8211; Roots DIGIPAK CD,Perunwit / Kraina Ziemi,Roots DIGIPAK,CD,
PAGAN HERITAGE &#8211; Forn Sed CD,Pagan Heritage,Forn Sed,CD,
PAGAN FLAME &#8211; Symbole de vie et de lumière CD,Pagan Flame,Symbole de vie et de lumière,CD,
MOLOCH &#8211; Stiller Schrei des winters CD,Moloch,Stiller Schrei des winters,CD,
MASSHU &#8211; Into the Darkness CASSETTE,Masshu,Into the Darkness,Cassette,
LLYR / LOST &#8211; Split CASSETTE,Llyr / Lost,Split,Cassette,
LIK &#8211; Avgrundspoetens flamma CD,LIK,Avgrundspoetens flamma,CD,
HAMMERGOAT / DAKHMA &#8211; Decrepit  Utterances of Unseen Horrors CASSETTE,Hammergoat / Dakhma,Decrepit  Utterances of Unseen Horrors,Cassette,
HAMMERGOAT / SADISTIK GOATHAMMER &#8211; Ritual of Nekro Penetration CASSETTE,Hammergoat / Sadistik Goathammer,Ritual of Nekro Penetration,Cassette,
GUILLOTINA &#8211; Demo 2019 CASSETTE,Guillotina,Demo 2019,Cassette,
FAMULUS AB SATANAS &#8211; Sacred Assembly Beneath Unholy Sorcery CD,Famulus ab Satanas,Sacred Assembly Beneath Unholy Sorcery,CD,
"ENCOFFINATION &#8211; O Hell, Shine in Thy Whited Sepulchures CASSETTE",Encoffination,"O Hell, Shine in Thy Whited Sepulchures",Cassette,
CAPILLA ARDIENTE &#8211; Solve Et Coagula CASSETTE,Capilla Ardiente,Solve Et Coagula,Cassette,
CAMPO DE MAYO / PERMAFROST &#8211; A Blindfold Stained With Blood / Haunting the Forgotten CASSETTE,Campo De Mayo / Permafrost,A Blindfold Stained With Blood / Haunting the Forgotten,Cassette,
AKROTHEISM / SEPTUAGINT &#8211; Sphinx: The Great Enigma of Times CD,Akrotheism / Septuagint,Sphinx: The Great Enigma Of Times,CD,
AKOLYYTTI &#8211; Transcendence &#8211; The Beast Within CD,Akolyytti,Transcendence – The Beast Within,CD,
BL &#8211; Gift 12&#8243; LP,Bl,Gift,Vinyl,
DYSANGELIUM &#8211; Dysangelium DOUBLE CD,Dysangelium,Dysangelium DOUBLE,CD,
DREADFUL RELIC &#8211; Hyborian Sorcery CD,Dreadful Relic,Hyborian Sorcery,CD,
LEGION / PERUNWIT &#8211; Split CD,Legion / Perunwit,Split,CD,
LOITS &#8211; Tulisilma Sund CD,Loits,Tulisilma Sund,CD,
KNACHT / BLUTORDEN &#8211; MCMXCVII AYPS DIGIPAK CD,Knacht / Blutorden,MCMXCVII AYPS DIGIPAK,CD,
VAMPYRIC BLOOD &#8211; Watching the Nights Rot in Eternal Melancholy CD,Vampyric Blood,Watching The Nights Rot In Eternal Melancholy,CD,
THEUDHO &#8211; De roep van her wond CD,Theudho,De roep van her wond,CD,
SVARTR STURM &#8211; En Route vers le Front CD,Svartr Sturm,En Route vers le Front,CD,
INSANE APOLLYON &#8211; Insane Apollyon CD,Insane Apollyon,Insane Apollyon,CD,
HELDUNE &#8211; Echoes of the Fallen CD,Heldune,Echoes of the Fallen,CD,
GARDIEN DE PORCS &#8211; Dans les terres CD,Gardien De Porcs,Dans les terres,CD,
EVILFEAST / UUNTAR &#8211; Odes to Lands of Past Traditions CD,Evilfeast / Uuntar,Odes to lands of past traditions,CD,
ETERNUM &#8211; The Devouring Descent CD,Eternum,The Devouring Descent,CD,
DARK FURY &#8211; Flooded Lands CD,Dark Fury,Flooded Lands,CD,
CROSS OF IRON &#8211; In the Steelstorms CD,Cross Of Iron,In the Steelstorms,CD,
