BARAD DUR &#8211; Gold oder Blut 12&#8243; LP,Barad Dur,Gold oder Blut,Vinyl,
ARMAGGEDON &#8211; Trumpets of Christian CD,Armaggedon,Trumpets of Christian,CD,
ADORIA / FEUERNACHT / STAHLFRONT &#8211; Wehrwolf Jugend CD,Adoria / Feuernacht / Stahlfront,Wehrwolf Jugend,CD,
KENAZ &#8211; Resurgence Nordique CD,Kenaz,Resurgence Nordique,CD,
DARKNESS ENSHROUDED THE MIST &#8211; The Black Curses CD,Darkness Enshrouded The Mist,The Black Curses,CD,
KOLAC / KROWOS / VON HEXE &#8211; Herebus Trinity Rebus DIGIPAK CD,Kolac / Krowos / Von Hexe,Herebus Trinity Rebus DIGIPAK,CD,
1389 &#8211; Islamske Bolesti/Dolazak Antihrista 7&#8243; EP,1389,Islamske Bolesti/Dolazak Antihrista,Vinyl,
ILLAPA &#8211; Lascivo Culto Solar DIGIPAK CD,Illapa,Lascivo Culto Solar DIGIPAK,CD,
VAAL &#8211; Visioen van het verborgen land CD,Vaal,Visioen van het verborgen land,CD,
UDEGSTE &#8211; Zwartmagische Brouwsels CD,Udegste,Zwartmagische Brouwsels,CD,
COUNTESS &#8211; Into Battle CD,Countess,Into Battle,CD,
CIRCLE OF OUROBORUS &#8211; Autuala DIGIPAK CD,Circle Of Ouroborus,Autuala DIGIPAK,CD,
CIRCLE OF OUROBORUS &#8211; Thurisa DIGIPAK CD,Circle Of Ouroborus,Thurisa DIGIPAK,CD,
GRAND CELESTIAL NIGHTMARE &#8211; The Great Apocalyptic Desolation CD,Grand Celestial Nightmare,The Great Apocalyptic Desolation,CD,
FORBIDDEN TEMPLE / ULTIMA THULE &#8211; Split CD,Forbidden Temple / Ultima Thule,Split,CD,
ROTUGF / SCATMOTHER / GRIZZY FETISH / NIGAMUSHI &#8211; Split CD,Rotugf / Scatmother / Grizzy Fetish / Nigamushi,Split,CD,
PENTAGAMMADION / MOONTOWER &#8211; Dies Imperii 12&#8243; LP,Pentagammadion / Moontower,Dies Imperii,Vinyl,
ABSURD &#8211; Promo 11/2019 A.Y.P.S. DIGISLEEVE CD,Absurd,Promo 11/2019 A.Y.P.S. DIGISLEEVE,CD,
ARMAGGEDON &#8211; A Tribute to Black Metal 12&#8243; PICTURE DISC LP,Armaggedon,A Tribute to Black Metal,Vinyl,
MALEFICE &#8211; Retour au monastère 12&#8243; GATEFOLD LP,Malefice,Retour au monastère,Vinyl,
NOKTURNAL MORTUM &#8211; Verity CASSETTE,Nokturnal Mortum,Verity,Cassette,
HYPERBOREAN LORE &#8211; Shores of Hyperborea CD,Hyperborean Lore,Shores of Hyperborea,CD,
BLOOD STRONGHOLD &#8211; Vengeance in Sacrificial Blood DIGIPAK CD,Blood Stronghold,Vengeance in Sacrificial Blood DIGIPAK,CD,
ANTHEM &#8211; Art Et Dictature DIGIPAK CD,Anthem,Art Et Dictature DIGIPAK,CD,
AKASHAH &#8211; Taran CD,Akashah,Taran,CD,
ARKTOGAA &#8211; Æra Yersinia Pestis Spiritvs CD,Arktogaa,Æra Yersinia Pestis Spiritvs,CD,
RAVENBANNER &#8211; And Ravens Sing Our Glorious Past DIGIPAK CD,Ravenbanner,And Ravens Sing Our Glorious Past DIGIPAK,CD,
GROM &#8211; Pagan War Machine 12&#8243; LP,Grom,Pagan War Machine,Vinyl,
STURMFUNGUY &#8211; Eisenmutter CD,Sturmfunguy,Eisenmutter,CD,
WOTANORDEN &#8211; From the Storm Come the Wolves 12&#8243; DOUBLE LP,Wotanorden,From the Storm Come the Wolves,Vinyl,
SUDWIND / BLOOD RITUAL &#8211; The Silence of Death Shall Follow CD,Sudwind / Blood Ritual,The Silence of Death Shall Follow,CD,
ASSASSINATION &#8211; Into Space and Out of Reach A5 DIGIPAK CD,Assassination,Into Space and Out of Reach A5 DIGIPAK,CD,
RAVENZANG &#8211; Rehearsal III CASSETTE,Ravenzang,Rehearsal III,Cassette,
CROWN OF NAILS &#8211; The Invitation DIGIPAK CD,Crown Of Nails,The Invitation DIGIPAK,CD,
HEATHEN HAMMER &#8211; Clandestine Oath DIGIPAK CD,Heathen Hammer,Clandestine Oath DIGIPAK,CD,
BLUTKULT &#8211; Alte Werte &#8211; Neu Beseelt DIGIPAK CD,Blutkult,Alte Werte – Neu Beseelt DIGIPAK,CD,
WOTANORDEN &#8211; Culture Preservation 12&#8243; GATEFOLD DOUBLE LP,Wotanorden,Culture Preservation,Vinyl,
KADUB KULT &#8211; Sontzekres DIGIPAK CD,Kadub Kult,Sontzekres DIGIPAK,CD,
NEFARIOUS RITES &#8211; Nefarious Rites CD,Nefarious Rites,Nefarious Rites,CD,
WODULF &#8211; Wargus Esto CD,Wodulf,Wargus Esto,CD,
HUNOK &#8211; Forgotten Honour DIGIPAK CD,Hunok,Forgotten Honour DIGIPAK,CD,
AKOLYYTTI &#8211; Akolyytti CD,Akolyytti,Akolyytti,CD,
INTOL &#8211; E Campaign CASSETTE,Intol,E Campaign,Cassette,
INTOL &#8211; E Campaign DIGIPAK CD,Intol,E Campaign DIGIPAK,CD,
INTOL &#8211; Berserker Savagery DIGIPAK CD,Intol,Berserker Savagery DIGIPAK,CD,
INTOL &#8211; Suicidal Allegiance DIGIPAK CD,Intol,Suicidal Allegiance DIGIPAK,CD,
IMPETUOUS RITUAL &#8211; Blight Upon Martyred Sentience CASSETTE,Impetuous Ritual,Blight Upon Martyred Sentience,Cassette,
ECCE HOMMO &#8211; Rehearsal Demo CASSETTE,Ecce Hommo,Rehearsal Demo,Cassette,
NADIWRATH &#8211; Nihilistic Stench CASSETTE,Nadiwrath,Nihilistic Stench,Cassette,
GESTOMPO &#8211; B.I.I.C.S.E. CASSETTE,Gestompo,B.I.I.C.S.E.,Cassette,
ET VERBI SATHANUS &#8211; Command CASSETTE,Et Verbi Sathanus,Command,Cassette,
INVERSER &#8211; Inverser CASSETTE,Inverser,Inverser,Cassette,
HOUR OF THY VOYAGER &#8211; Hour of Thy Voyager CASSETTE,Hour Of Thy Voyager,Hour of Thy Voyager,Cassette,
BLACK ABYSS &#8211; Bestial Consciousness CASSETTE,Black Abyss,Bestial Consciousness,Cassette,
NECROSLEEZER &#8211; Pope Kill CASSETTE,Necrosleezer,Pope Kill,Cassette,
ORLOK / WAMPYR DUNGEON &#8211; The Carpathian Plague 12&#8243; LP,Orlok / Wampyr Dungeon,The Carpathian Plague,Vinyl,
IRAE &#8211; Lurking in the Depths CASSETTE,Irae,Lurking in the Depths,Cassette,
EVIL &#8211; Revenge of Iron and Thunder DIGIPAK CD,Evil,Revenge of Iron and Thunder DIGIPAK,CD,
STUTTHOF &#8211; An Ode to Thee Ancient Great Goddess CD,Stutthof,An Ode to Thee Ancient Great Goddess,CD,
BURZUM &#8211; Umskiptar CD,Burzum,Umskiptar,CD,
DARK FURY &#8211; Slavonic Thunder DIGIPAK CD,Dark Fury,Slavonic Thunder DIGIPAK,CD,
VETALA &#8211; Burn Your Head With Satan DIGIPAK CD,Vetala,Burn Your Head With Satan DIGIPAK,CD,
GEISTAZ&#8217;IKA &#8211; 	Trolddomssejd i skovens dybe kedel DIGIPAK CD,Geistaz’Ika,Trolddomssejd i skovens dybe kedel DIGIPAK,CD,
IRAE &#8211; Lurking in the Depths DIGIPAK CD,Irae,Lurking in the Depths DIGIPAK,CD,
PESTIS CULTUS &#8211; Pestis Cultus DIGIPAK CD,Pestis Cultus,Pestis Cultus DIGIPAK,CD,
"DAEMONLUST &#8211; Death, the Heart of Satan CD",Daemonlust,"Death, The Heart of Satan",CD,
WEHR &#8211; Wehr CD,Wehr,Wehr,CD,
THULE DEL SUR &#8211; Four Meditations Under the Polar Star DIGIPAK CD,Thule Del Sur,Four Meditations Under the Polar Star DIGIPAK,CD,
DARK FURY / KVASIR&#8217;S BLOOD &#8211; Split 7&#8243; EP,Dark Fury / Kvasir’S Blood,Split,Vinyl,
PANTHEON &#8211; Paganuclear CASSETTE,Pantheon,Paganuclear,Cassette,
WITCHCRAFT &#8211; Diablerie CASSETTE,Witchcraft,Diablerie,Cassette,
PHLEGEIN &#8211; Labyrinth of Wonder MCD,Phlegein,Labyrinth of Wonder,CD,
THE MIST FROM THE MOUNTAINS &#8211; Monumental &#8211; The Temple of Twilight CD,The Mist From The Mountains,Monumental – The Temple of Twilight,CD,
MALIGNAMENT &#8211; Hypocrisis Absolution CD,Malignament,Hypocrisis Absolution,CD,
BLACKDEATH &#8211; Phantasmhassgorie CD,Blackdeath,Phantasmhassgorie,CD,
BLACKDEATH &#8211; Chronicles of Hellish Circles II CD,Blackdeath,Chronicles of Hellish Circles II,CD,
NEXUS O:N:G &#8211; Todesschwerter CASSETTE,Nexus O:N:G,Todesschwerter,Cassette,
FERAL HOWL &#8211; Atavistic Meditations DIGIPAK CD,Feral Howl,Atavistic Meditations DIGIPAK,CD,
WODULF &#8211; From the Corpsegates CASSETTE,Wodulf,From the Corpsegates,Cassette,
RATTENKONIG &#8211; Rodentia&#8217;s Wrath CASSETTE,Rattenkonig,Rodentia’s Wrath,Cassette,
ASSASSINATION &#8211; Red Magick Faction A5 DIGIPAK CD,Assassination,Red Magick Faction A5 DIGIPAK,CD,
KUUPYR &#8211; Black Forest Path CD,Kuupyr,Black Forest Path,CD,
POHORON &#8211; People of the Goat CASSETTE,Pohoron,People of the Goat,Cassette,
PANZERJAGER / AESIR &#8211; War Chants for Ragnarok CD,Panzerjager / Aesir,War Chants for Ragnarok,CD,
SAMMAS EQUINOX &#8211; Maailmantaonta DIGIPAK CD,Sammas Equinox,Maailmantaonta DIGIPAK,CD,
WAKBOTH / RIENAUS &#8211; Split CD,Wakboth / Rienaus,Split,CD,
HERESIARCH &#8211; Incursions CD,Heresiarch,Incursions,CD,
BLUTKRIEG &#8211; Wotan&#8217;s Harrow DIGIPAK CD,Blutkrieg,Wotan’s Harrow DIGIPAK,CD,
AOX &#8211; Apotheosis ov XAOC CD,Aox,Apotheosis ov XAOC,CD,
ASSASSINATION &#8211; Autumn Brown is the New Black DIGIPAK CD,Assassination,Autumn Brown is the New Black DIGIPAK,CD,
AMESTIGON &#8211; Amestigon Origins: The Demo Tapes 94-96 CD,Amestigon,Amestigon Origins: The Demo Tapes 94-96,CD,
KORGONTHURUS &#8211; Vuohen Siunaus CD,Korgonthurus,Vuohen Siunaus,CD,
ANNIHILATUS &#8211; Blood and War DIGIPAK CD,Annihilatus,Blood and War DIGIPAK,CD,
ANNIHILATUS &#8211; Annihilation DIGIPAK CD,Annihilatus,Annihilation DIGIPAK,CD,
VALHALLA BOUND &#8211; Virgin Hearts DIGIPAK CD,Valhalla Bound,Virgin Hearts DIGIPAK,CD,
GRAAVEHLDER &#8211; Naturmystik I Midsommartid CD,Graavehlder,Naturmystik I Midsommartid,CD,
THOKK &#8211; A Trance for the Ever-Toiling Witch CD,Thokk,A Trance for the Ever-Toiling Witch,CD,
ICONOCLAST CONTRA &#8211; Combat is the Voice of the Heathen CD,Iconoclast Contra,Combat is the Voice of the Heathen,CD,
ODIUM TOTUS &#8211; In Inceptum Finis Est DIGIPAK CD,Odium Totus,In Inceptum Finis Est DIGIPAK,CD,
GRAVECODE NEBULA &#8211; Sempiternal Void DIGIPAK CD,Gravecode Nebula,Sempiternal Void DIGIPAK,CD,
VOMIT &#8211; Desecration (Demo 1) CASSETTE,Vomit,Desecration (Demo 1),Cassette,
THE DAY OF THE BEAST &#8211; The Ultimate Cremation Pyre CASSETTE,The Day Of The Beast,The Ultimate Cremation Pyre,Cassette,
SVARTA / ELANDE &#8211; Invokation DIGIPAK CD,Svarta / Elande,Invokation DIGIPAK,CD,
RUHO &#8211; Mouth of Extinction CD IN CLOTH BAG,Ruho,Mouth of Extinction,CD,
POISON MIST &#8211; Poison Mist CASSETTE,Poison Mist,Poison Mist,Cassette,
PNEUMA HAGION &#8211; Trinity I CASSETTE,Pneuma Hagion,Trinity I,Cassette,
PIAREVARACIAN &#8211; Down the Broken Path CD,Piarevaracian,Down the Broken Path,CD,
ODOUR OF DEATH &#8211; Odour of Death DIGIPAK CD,Odour of Death,Odour of Death DIGIPAK,CD,
MORBID CEREMONY &#8211; Turn This World to Rust CASSETTE,Morbid Ceremony,Turn This World to Rust,Cassette,
IN INFERNAL WAR &#8211; Guerra Infernal CASSETTE,In Infernal War,Guerra Infernal,Cassette,
HAMMERS RULE &#8211; Show No Mercy CASSETTE,Hammers Rule,Show No Mercy,Cassette,
GOREFEST &#8211; Erase CASSETTE,Gorefest,Erase,Cassette,
GOAT DESTRUKTOR &#8211; Goat Destruktor CASSETTE,Goat Destruktor,Goat Destruktor,Cassette,
NOXIA / FREMDREICH &#8211; Kein Platz / Remnants of the Arcane CD,Noxia / Fremdreich,Kein Platz / Remnants of the Arcane,CD,
EMBATERION &#8211; The Sound of Charge DIGISLEEVE CD,Embaterion,The Sound of Charge DIGISLEEVE,CD,
CRUCIFIED &#8211; Tales of the Tainted Messiah CASSETTE,Crucified,Tales of the Tainted Messiah,Cassette,
BLASPHEMONGER &#8211; Impaled Beneath the Pentagram CASSETTE,Blasphemonger,Impaled Beneath the Pentagram,Cassette,
ASSUMPTION &#8211; Mosaic of the Dismal Dominion CASSETTE,Assumption,Mosaic of the Dismal Dominion,Cassette,
ABJVRATION &#8211; The Unquenchable Pyre CASSETTE,Abjvration,The Unquenchable Pyre,Cassette,
CRUCIFIED MORTALS &#8211; Crucified Mortals CASSETTE,Crucified Mortals,Crucified Mortals,Cassette,
GRAFVOLLUTH &#8211; Long Live Death! CASSETTE,Grafvolluth,Long Live Death!,Cassette,
SLUTVOMIT &#8211; Swarming Darkness CASSETTE,Slutvomit,Swarming Darkness,Cassette,
TRIGGER &#8211; Trigger CASSETTE,Trigger,Trigger,Cassette,
MONDFINSTERNIS &#8211; Where the Heaven Ends CD,Mondfinsternis,Where the Heaven Ends,CD,
HARVEST GULGALTHA &#8211; Altars of Devotion CASSETTE,Harvest Gulgaltha,Altars of Devotion,Cassette,
NOKTURNAL WARFARE &#8211; Deathkult Division CD,Nokturnal Warfare,Deathkult Division,CD,
SATURNALIA TEMPLE &#8211; To the Other CD,Saturnalia Temple,To The Other,CD,
SVETOVID / VRILDOM &#8211; Split CD,Svetovid / Vrildom,Split,CD,
ARYMAN &#8211; &#8230;i nienazwanych Dyjabłów CD,Aryman,…i nienazwanych Dyjabłów,CD,
DEEP DESOLATION &#8211; Boski jad CASSETTE,Deep Desolation,Boski Jad,Cassette,
ODOUR OF DEATH &#8211; Satanic Devotion CD,Odour of Death,Satanic Devotion,CD,
OVADER &#8211; Wotankult CD,Ovader,Wotankult,CD,
BESTIAL WHORE &#8211; Pentagram Perversion CD,Bestial Whore,Pentagram Perversion,CD,
MALEDICERE &#8211; Leave Only What is Fit to Burn CD,Maledicere,Leave Only What Is Fit to Burn,CD,
MANIFESTING &#8211; Descension Through the Seven Forbidden Seals CD,Manifesting,Descension Through the Seven Forbidden Seals,CD,
SURUNI &#8211; Lahteet CD,Suruni,Lahteet,CD,
POWER FROM HELL &#8211; Lust and Violence CD,Power From Hell,Lust and Violence,CD,
SLAEGT &#8211; Ildsvanger CD,Slaegt,Ildsvanger,CD,
FUNERAL PYRE &#8211; Funeral Pyre CD,Funeral Pyre,Funeral Pyre,CD,
